PKABCODE,index_right,prop_name,prop_id,primary_commodity,projects,dev_stage,activ_status,commodities_list,state_province,latitude,longitude,mo_yr_source_d
9371,58,Sentani,29919,Nickel,Projects,Target Outline,Inactive,"Nickel,Cobalt",Papua,-2.58127,140.53757,2005-03-01
9204,521,Papua - PT Sumber Daya Energi,67942,Coal,Projects,Grassroots,Inactive,Coal,Papua,-2.99,138.05,2014-01-01
9204,188,Papua,40122,Coal,Projects,Exploration,Inactive,Coal,Papua,-2.66667,137.66667,2015-01-01
9103,349,Batanta Island,52752,Gold,Projects,,Inactive,Gold,Papua Barat,-0.85964,130.62653,1995-10-01
9103,414,Fofak ( Waigeo ),60249,Nickel,Projects,Operating,,"Nickel,Cobalt",Papua Barat,-0.065,130.75,2008-08-01
9303,36,Minika,29382,Copper,Projects,Target Outline,Inactive,"Copper,Gold",Papua,-4.03591,137.47305,1995-12-01
9303,34,Wabu,29203,Gold,Projects,Reserves Development,Inactive,"Gold,Silver",Papua,-3.76346,137.05869,2017-02-01
9203,378,Nabire,56693,Gold,Projects,Grassroots,Inactive,"Gold,Copper,Silver",Papua,-3.96,136.0,2015-12-01
9203,403,Papua,59636,Gold,Projects,Grassroots,Inactive,"Gold,Copper",Papua,-3.675,136.5,2011-01-01
9203,136,Derewo River,38464,Gold,Projects,Construction Started,Active,Gold,Papua,-3.62167,136.28639,2020-09-01
9201,4,Grasberg,26568,Copper,Projects,Operating,Active,"Copper,Gold,Silver",Papua,-4.05667,137.11361,2022-07-01
9102,197,West Papua,40305,Coal,Projects,Exploration,Inactive,Coal,Papua Barat,-1.45111,133.94361,2012-10-01
9102,427,Manokwari,61356,Coal,Projects,Grassroots,Inactive,Coal,Papua Barat,-1.441,134.016,2012-10-01
9102,398,Bird's Head,58932,Copper,Projects,Exploration,Inactive,"Copper,Gold,Molybdenum,Silver,Zinc,Lead",Papua Barat,-0.58885,132.79146,2018-03-01
9302,497,Oksibil,66126,Gold,Projects,Exploration,Inactive,"Gold,Silver",Papua,-5.081,140.636,2013-04-01
9302,579,Pegunungan Bintang,84435,Gold,Projects,Target Outline,Active,Gold,Papua,-4.97296,140.74293,2020-01-01
9302,62,Antares,30071,Copper,Projects,Target Outline,Inactive,"Copper,Gold,Zinc,Lead",Papua,-4.87278,140.85694,2015-03-01
9304,380,Idenburg,56886,Gold,Projects,Exploration,Inactive,Gold,Papua,-3.589,140.691,2011-04-01
9304,65,Cendrawana,30234,Nickel,Projects,Target Outline,Inactive,"Nickel,Cobalt",Papua,-2.52167,138.88333,2005-03-01
9304,41,Siduarsi,29556,Nickel,Projects,Target Outline,Active,"Nickel,Cobalt",Papua,-2.52145,138.88338,2022-05-01
9304,581,Cyclops,84443,Nickel,Projects,Target Outline,Active,"Nickel,Cobalt,Iron Ore",Papua,-2.46688,140.36829,2020-01-01
3171,622,Yashi Smelter,85830,Nickel,Facilities,Expansion,Active,Nickel,Jakarta Raya,-6.2289,106.82387,2020-09-01
3173,653,Dafeng Plant,89498,Nickel,Facilities,Operating,Active,Nickel,Jakarta Raya,-6.1987,106.82305,2022-01-01
3173,447,Logam Mulia Refinery,61941,Gold,Facilities,Operating,Active,"Gold,Silver",Jakarta Raya,-6.17,106.84,2021-06-01
3201,77,Pongkor,31021,Gold,Projects,Operating,Active,"Gold,Silver",Jawa Barat,-6.66007,106.56812,2022-07-01
3201,439,Cariu,61855,Gold,Projects,Exploration,Inactive,Gold,Jawa Barat,-6.615,107.073,2012-09-01
3202,70,Ciemas,30436,Copper,Projects,Target Outline,Inactive,"Copper,Gold",Jawa Barat,-7.1977,106.73232,2003-06-01
3202,449,Wilton,62251,Gold,Projects,Grassroots,Inactive,Gold,Jawa Barat,-7.16549,106.56285,2011-02-01
3202,63,Jampang,30096,Gold,Projects,Reserves Development,Active,"Gold,Copper,Silver",Jawa Barat,-7.10235,106.58619,2012-04-01
3203,18,Cikondang,27528,Gold,Projects,Reserves Development,Inactive,"Gold,Zinc,Lead,Copper",Jawa Barat,-7.38815,107.04609,1997-07-01
3203,162,Gunung Rosa,39160,Gold,Projects,Reserves Development,Active,"Gold,Silver,Zinc,Lead,Copper",Jawa Barat,-7.00444,107.08639,2016-07-01
3204,598,Tri Daya Jaya Smelter,85774,Nickel,Facilities,Operating,Active,Nickel,Jawa Barat,-7.05192,107.51124,2020-09-01
3204,460,Cimandiri,62839,Gold,Projects,Grassroots,Active,Gold,Jawa Barat,-7.0,107.5,2014-07-01
3204,362,Akash,53108,Gold,Projects,,Inactive,Gold,Jawa Barat,-6.72675,107.36282,1998-10-01
3204,183,Weiye,40020,Nickel,Projects,Operating,Inactive,"Nickel,Iron Ore",Jawa Barat,-7.10883,107.64885,2012-01-01
3205,56,Limbung,29877,Zinc,Projects,Target Outline,Inactive,"Zinc,Lead,Gold",Jawa Barat,-7.4175,107.52251,2002-07-01
3205,52,Papandayan,29834,Gold,Projects,Reserves Development,Active,"Gold,Silver",Jawa Barat,-7.41646,107.68304,2014-11-01
3206,356,Salopa,52972,Gold,Projects,,Inactive,Gold,,-7.52553,108.30559,1995-07-01
3216,627,Bekasi Smelter,86821,Lead,Facilities,Operating,Active,Lead,Jawa Barat,-6.28833,107.14567,2020-02-01
3216,628,Bekasi Refinery,86822,Lead,Facilities,Operating,Active,Lead,Jawa Barat,-6.28824,107.14574,2020-02-01
3301,91,Kutoarjo,33065,Iron Ore,Projects,Closed,Inactive,Iron Ore,Jawa Tengah,-7.66,109.03278,2015-03-01
